scientific_name,common_name,where_listed,region,ESA_listing_status,group_name,state
Charadrius melodus,Piping Plover,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",3,Endangered,Birds,MN
Notropis topeka (=tristis),Topeka shiner,"Wherever found, except where listed as an experimental population",6,Endangered,Fishes,MN
Lampsilis higginsii,Higgins eye (pearlymussel),Wherever found,3,Endangered,Clams,MN
Quadrula fragosa,Winged Mapleleaf,"Wherever found, except where listed as an experimental population",3,Endangered,Clams,MN
Lycaeides melissa samuelis,Karner blue butterfly,Wherever found,3,Endangered,Insects,MN
Erythronium propullans,Minnesota dwarf trout lily,Wherever found,3,Endangered,Flowering Plants,MN
Lespedeza leptostachya,Prairie bush-clover,Wherever found,3,Threatened,Flowering Plants,MN
Platanthera leucophaea,Eastern prairie fringed orchid,Wherever found,3,Threatened,Flowering Plants,MN
Platanthera praeclara,Western prairie fringed Orchid,Wherever found,3,Threatened,Flowering Plants,MN
Rhodiola integrifolia ssp. leedyi,Leedy's roseroot,Wherever found,3,Threatened,Flowering Plants,MN
Hesperia dacotae,Dakota Skipper,Wherever found,3,Threatened,Insects,MN
Cumberlandia monodonta,Spectaclecase (mussel),Wherever found,3,Endangered,Clams,MN
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,MN
Grus americana,Whooping crane,"U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)",2,"Experimental Population, Non-Essential",Birds,MN
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles,MN
Plethobasus cyphyus,Sheepnose Mussel,Wherever found,3,Endangered,Clams,MN
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,MN
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,MN
Bombus affinis,Rusty patched bumble bee,Wherever found,3,Endangered,Insects,MN
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,NY
Charadrius melodus,Piping Plover,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",3,Endangered,Birds,NY
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds,NY
Sterna dougallii dougallii,Roseate tern,Northeast U.S. nesting population,5,Endangered,Birds,NY
Eretmochelys imbricata,Hawksbill sea turtle,Wherever found,4,Endangered,Reptiles,NY
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles,NY
Glyptemys muhlenbergii,bog turtle,"Wherever found, except GA, NC, SC, TN, VA",5,Threatened,Reptiles,NY
Pleurobema clava,Clubshell,Wherever found; Except where listed as Experimental Populations,5,Endangered,Clams,NY
Alasmidonta heterodon,Dwarf wedgemussel,Wherever found,5,Endangered,Clams,NY
Epioblasma rangiana,Northern riffleshell,Wherever found,5,Endangered,Clams,NY
Novisuccinea chittenangoensis,Chittenango ovate amber snail,Wherever found,5,Threatened,Snails,NY
Lycaeides melissa samuelis,Karner blue butterfly,Wherever found,3,Endangered,Insects,NY
Aconitum noveboracense,Northern wild monkshood,Wherever found,3,Threatened,Flowering Plants,NY
Isotria medeoloides,Small whorled pogonia,,5,Threatened,Flowering Plants,NY
Scirpus ancistrochaetus,Northeastern bulrush,,5,Endangered,Flowering Plants,NY
Agalinis acuta,Sandplain gerardia,Wherever found,5,Endangered,Flowering Plants,NY
Solidago houghtonii,Houghton's goldenrod,Wherever found,3,Threatened,Flowering Plants,NY
Amaranthus pumilus,Seabeach amaranth,Wherever found,4,Threatened,Flowering Plants,NY
Rhodiola integrifolia ssp. leedyi,Leedy's roseroot,Wherever found,3,Threatened,Flowering Plants,NY
Asplenium scolopendrium var. americanum,American hart's-tongue fern,Wherever found,5,Threatened,Ferns and Allies,NY
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,NY
Villosa fabalis,Rayed Bean,Wherever found,3,Endangered,Clams,NY
Hemileuca maia menyanthevora (=H. iroquois),bog buck moth,Wherever found,5,Endangered,Insects,NY
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles,NY
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,NY
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,NY
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams,NY
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,OH
Charadrius melodus,Piping Plover,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",3,Endangered,Birds,OH
Nerodia erythrogaster neglecta,Copperbelly water snake,"Indiana north of 40 degrees north latitude, Michigan, Ohio",3,Threatened,Reptiles,OH
Epioblasma obliquata,Purple Cat's paw (=Purple Cat's paw pearlymussel),Wherever found; Except where listed as Experimental Populations,3,Endangered,Clams,OH
Epioblasma perobliqua,White catspaw (pearlymussel),Wherever found,3,Endangered,Clams,OH
Lampsilis abrupta,Pink mucket (pearlymussel),Wherever found,3,Endangered,Clams,OH
Pleurobema clava,Clubshell,Wherever found; Except where listed as Experimental Populations,5,Endangered,Clams,OH
Cyprogenia stegaria,Fanshell,Wherever found,4,Endangered,Clams,OH
Epioblasma rangiana,Northern riffleshell,Wherever found,5,Endangered,Clams,OH
Lycaeides melissa samuelis,Karner blue butterfly,Wherever found,3,Endangered,Insects,OH
Neonympha mitchellii mitchellii,Mitchell's satyr Butterfly,Wherever found,3,Endangered,Insects,OH
Nicrophorus americanus,American burying beetle,"Wherever found, except where listed as an experimental population",2,Threatened,Insects,OH
Aconitum noveboracense,Northern wild monkshood,Wherever found,3,Threatened,Flowering Plants,OH
Isotria medeoloides,Small whorled pogonia,,5,Threatened,Flowering Plants,OH
Platanthera leucophaea,Eastern prairie fringed orchid,Wherever found,3,Threatened,Flowering Plants,OH
Spiraea virginiana,Virginia spiraea,Wherever found,5,Threatened,Flowering Plants,OH
Hymenoxys herbacea,Lakeside daisy,Wherever found,3,Threatened,Flowering Plants,OH
Quadrula cylindrica cylindrica,Rabbitsfoot,Wherever found,4,Threatened,Clams,OH
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,OH
Villosa fabalis,Rayed Bean,Wherever found,3,Endangered,Clams,OH
Grus americana,Whooping crane,"U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)",2,"Experimental Population, Non-Essential",Birds,OH
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles,OH
Plethobasus cyphyus,Sheepnose Mussel,Wherever found,3,Endangered,Clams,OH
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,OH
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,OH
Bombus affinis,Rusty patched bumble bee,Wherever found,3,Endangered,Insects,OH
Obovaria subrotunda,Round hickorynut,Wherever found,3,Threatened,Clams,OH
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams,OH
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,PA
